 mean energy  [keV], unc, intensity beta %, unc,daughter level H-l [sec],daughter level energy  [keV],energy EC  [keV], unc, intensity EC, unc, log ft, unc, transition type, neutrino energy, unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
,,,,,1682.07,192.5,0.7,0.00364,0.00016,12.32,0.02,A,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
,,,,,1769.130,105.5,0.7,0.0816,0.0021,10.25,0.02,1NU,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
,,,,,1822.03,52.6,0.7,0.0049,0.0012,10.37,0.11,A,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
,,,,0.000000000006,1233.8626,640.7,0.7,17.09,0.09,9.837,0.003,1NU,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
,,,,0.000000000005,1041.1217,833.5,0.7,0.067,0.007,12.49,0.05,A,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
,,,,,1529.8019,344.8,0.7,24.78,0.12,9.086,0.003,A,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
,,,,,1649.833,224.8,0.7,0.928,0.009,10.078,0.006,A,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
,,,,,1757.001,117.6,0.7,0.054,0.003,10.57,0.03,1NU,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
,,,,,1779.119,95.5,0.7,0.0124,0.0004,10.93,0.02,A,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
,,,,0.000000000004,1085.8408,788.8,0.7,21.50,0.12,9.928,0.003,1NU,,,63,89,Eu,,0,,3-,13.517,,9,Y,426554968.39856005,284012.333771328,EC+B+,72.08,0.13,1874.5,15,62,90,Sm,31-Aug-2013,M. J. MARTIN,2024-04-17
