energy,intensity,InitialState,FinalState,alpha,gamma
0.00,100,0.00_144Nd,0.00_140Ce,0,0
0.00,100,0.00_148Sm,0.00_144Nd,0,0
0.00,0.0199,0.00_152Eu,1692.40_152Gd,0,0
0.00,1.831,0.00_152Eu,1643.42_152Gd,0,0
0.00,0.1067,0.00_152Eu,1605.60_152Gd,0,0
0.00,0.0456,0.00_152Eu,1550.17_152Gd,0,0
0.00,2.43,0.00_152Eu,1434.02_152Gd,0,0
0.00,0.0189,0.00_152Eu,1318.46_152Gd,0,0
0.00,0.0232,0.00_152Eu,1282.24_152Gd,0,0
0.00,13.73,0.00_152Eu,1123.19_152Gd,0,0
0.00,0.264,0.00_152Eu,1109.20_152Gd,0,0
0.00,0.284,0.00_152Eu,930.55_152Gd,0,0
0.00,0.913,0.00_152Eu,755.40_152Gd,0,0
0.00,8.24,0.00_152Eu,344.28_152Gd,0,0
0.00,0.05,0.00_152Eu,1756.04_152Gd,0,0
0.00,0.012,0.00_152Eu,1460.54_152Gd,0,0
0.00,1.6,0.00_152Eu,1314.62_152Gd,0,0
0.00,0.087,0.00_152Eu,1047.87_152Gd,0,0
0.00,1.7,0.00_152Eu,344.29_152Gd,0,0
0.00,70,0.00_152Eu,0.00_152Gd,0,0
0.00,0.0026,0.00_152Eu,366.48_152Sm,0,0
0.00,0.023,0.00_152Eu,121.78_152Sm,0,0
0.00,0.0007,0.00_152Eu,121.78_152Sm,0,0
0.00,0.0064,0.00_152Eu,0.00_152Sm,0,0
0.00,100,0.00_152Gd,0.00_148Sm,0,0
117.30,0.0021,1047.87_152Gd,930.63_152Gd,1.41,1
118.97,0.00053,1082.82_152Sm,963.36_152Sm,0,1
119.44,0.0103,1082.88_152Sm,963.40_152Sm,0,1
121.77,7,121.78_152Sm,0.00_152Sm,1.155,1
121.78,28.53,121.78_152Sm,0.00_152Sm,1.155,1
125.43,0.00035,810.44_152Sm,684.76_152Sm,0,1
125.68,0.00513,810.45_152Sm,684.69_152Sm,1.033,1
137.56,0.00074,1371.72_152Sm,1233.86_152Sm,0,1
148.00,0.0205,1233.86_152Sm,1085.84_152Sm,0.569,1
150.13,9e-04,1371.72_152Sm,1221.67_152Sm,0,1
152.77,0.0018,963.40_152Sm,810.44_152Sm,0.0872,1
172.10,0.00043,1282.24_152Gd,1109.20_152Gd,0.369,1
174.80,0.00138,930.55_152Gd,755.40_152Gd,0,1
191.60,7e-04,1314.62_152Gd,1123.13_152Gd,0.256,1
192.60,0.00681,1123.19_152Gd,930.55_152Gd,0.0502,1
195.22,0.00205,1318.46_152Gd,1123.19_152Gd,0.0484,1
207.03,0.00114,1292.75_152Sm,1085.84_152Sm,0,1
207.64,0.0073,1579.43_152Sm,1371.72_152Sm,0.0382,1
209.30,0.00017,1318.46_152Gd,1109.20_152Gd,0,1
209.41,0.0012,1643.42_152Gd,1434.02_152Gd,0.0402,1
209.97,0.0043,1292.75_152Sm,1082.82_152Sm,0,1
210.95,0.0038,1233.86_152Sm,1022.97_152Sm,0,1
212.43,0.0207,1022.97_152Sm,810.45_152Sm,0.1706,1
218.10,6e-04,1510.79_152Sm,1292.66_152Sm,0,1
237.10,0.00633,1529.80_152Sm,1292.75_152Sm,0,1
239.33,0.005318,1769.13_152Sm,1529.80_152Sm,0.0263,1
241.00,0.0003723,1612.88_152Sm,1371.72_152Sm,0,1
244.66,0.023,366.45_152Sm,121.78_152Sm,0.1074,1
244.70,7.55,366.48_152Sm,121.78_152Sm,0.1073,1
251.63,0.067,1292.75_152Sm,1041.12_152Sm,0.055,1
266.92,0.0011,1314.62_152Gd,1047.87_152Gd,0.0214,1
269.84,0.0078,1292.75_152Sm,1022.97_152Sm,0.0784,1
271.08,0.0715,615.41_152Gd,344.28_152Gd,0.0827,1
271.13,0.075,615.37_152Gd,344.29_152Gd,0.0826,1
272.41,0.00064,1082.82_152Sm,810.45_152Sm,0,1
272.43,0.0099,1082.88_152Sm,810.44_152Sm,0.0761,1
275.42,0.0346,1085.84_152Sm,810.45_152Sm,0.1015,1
285.98,0.0098,1371.72_152Sm,1085.84_152Sm,0.0653,1
286.50,0.0014,1579.43_152Sm,1292.75_152Sm,0,1
